# Point ID ,ko2_omega ,ko2_tke ,normal ,Points_0 ,Points_1 ,Points_2 ,Points_Magnitude ,pressure ,u ,v ,vis ,vorticity ,w
3.200000000000000000e+01 1.087953437500000000e+05 1.323488980080000068e-23 2.580805739849999876e-04 3.141592741010000189e+00 0.000000000000000000e+00 -1.000000047500000048e-03 3.141592979429999932e+00 -3.365896930059999809e-07 1.141943037509999918e-02 4.746707584280000443e-13 1.417241411030000021e-11 -2.246084785460000077e+01 0.000000000000000000e+00
6.500000000000000000e+01 5.486006835940000201e+03 3.900357114620000198e-06 2.098318189380000021e-03 3.141592741010000189e+00 2.064644591879999901e-03 -1.000000047500000048e-03 3.141593694690000049e+00 -3.365729526189999950e-07 4.637366905810000328e-02 1.174871831769999931e-11 2.292652512279999852e-09 -2.226544952389999921e+01 0.000000000000000000e+00
9.800000000000000000e+01 1.102303710939999974e+03 3.069456943189999683e-05 4.299772903319999846e-03 3.141592741010000189e+00 4.263984039430000240e-03 -1.000000047500000048e-03 3.141595840449999955e+00 -3.365721852330000105e-07 9.491320699449999621e-02 4.075711296239999868e-11 5.116925549940000307e-08 -2.202741050719999905e+01 0.000000000000000000e+00
1.310000000000000000e+02 4.028710021969999957e+02 1.295732799920000045e-04 6.644505076109999582e-03 3.141592741010000189e+00 6.606479175389999570e-03 -1.000000047500000048e-03 3.141599893570000024e+00 -3.365721283900000075e-07 1.464124172930000023e-01 8.148880875639999988e-11 4.514302247569999938e-07 -2.187196350099999975e+01 0.000000000000000000e+00
1.640000000000000000e+02 2.000186462400000096e+02 3.797574900089999996e-04 9.141467511650000488e-03 3.141592741010000189e+00 9.101077914240000497e-03 -1.000000047500000048e-03 3.141606092449999998e+00 -3.365727252460000076e-07 2.006927877659999970e-01 1.290158257999999984e-10 2.313136519659999971e-06 -2.145392799380000071e+01 0.000000000000000000e+00
1.650000000000000000e+02 1.201563262939999959e+02 8.665263303559999925e-04 1.180012337859999948e-02 3.141592741010000189e+00 1.175723597409999988e-02 -1.000000047500000048e-03 3.141614913939999809e+00 -3.365740326440000138e-07 2.568670809270000022e-01 1.796769677490000059e-10 8.097132194959999664e-06 -2.050413513179999825e+01 0.000000000000000000e+00
1.980000000000000000e+02 8.217401123049999967e+01 1.621234929189999943e-03 1.463046390559999931e-02 3.141592741010000189e+00 1.458494178950000067e-02 -1.000000047500000048e-03 3.141626834869999829e+00 -3.365763348029999954e-07 3.130241036420000067e-01 2.298179424539999941e-10 2.112440415660000168e-05 -1.884910011290000043e+01 0.000000000000000000e+00
2.310000000000000000e+02 6.117418289180000102e+01 2.570059383289999971e-03 1.764303445820000066e-02 3.141592741010000189e+00 1.759473420680000150e-02 -1.000000047500000048e-03 3.141642093659999802e+00 -3.365796601430000175e-07 3.667146861550000247e-01 2.762993445150000138e-10 4.381182588989999851e-05 -1.662410736080000007e+01 0.000000000000000000e+00
2.640000000000000000e+02 4.797351837160000088e+01 3.570395754650000121e-03 2.084895782170000100e-02 3.141592741010000189e+00 2.079772949220000042e-02 -1.000000047500000048e-03 3.141661643980000029e+00 -3.365842076159999742e-07 4.160715043539999769e-01 3.169596529679999849e-10 7.649584586029999393e-05 -1.422123908999999919e+01 0.000000000000000000e+00
2.970000000000000000e+02 3.885251235959999860e+01 4.501481540499999677e-03 2.425994351509999994e-02 3.141592741010000189e+00 2.420563437039999904e-02 -1.000000047500000048e-03 3.141686201100000186e+00 -3.365900909099999809e-07 4.604863524439999911e-01 3.507831525250000186e-10 1.172832999150000022e-04 -1.201081371309999923e+01 0.000000000000000000e+00
3.620000000000000000e+02 3.214295959470000241e+01 5.308631341899999918e-03 2.788832783700000151e-02 3.141592741010000189e+00 2.783077768979999936e-02 -1.000000047500000048e-03 3.141716241840000201e+00 -3.365973952900000035e-07 5.003221034999999484e-01 3.773000523119999993e-10 1.642311253820000097e-04 -1.014799785609999994e+01 0.000000000000000000e+00
3.630000000000000000e+02 2.699608612060000112e+01 5.984565708789999633e-03 3.174707666039999765e-02 3.141592741010000189e+00 3.168611973519999681e-02 -1.000000047500000048e-03 3.141752719879999933e+00 -3.366058933809999979e-07 5.362048149110000272e-01 3.968524675550000251e-10 2.176894777220000020e-04 -8.613312721250000692e+00 0.000000000000000000e+00
3.960000000000000000e+02 2.293708610530000058e+01 6.539071444420000399e-03 3.584980592130000004e-02 3.141592741010000189e+00 3.578528016810000184e-02 -1.000000047500000048e-03 3.141796588900000131e+00 -3.366154430749999955e-07 5.686675310130000494e-01 4.101156914070000051e-10 2.785055839920000127e-04 -7.345067977910000323e+00 0.000000000000000000e+00
4.290000000000000000e+02 1.967656517030000174e+01 6.987194530669999654e-03 4.021081328389999876e-02 3.141592741010000189e+00 4.014254361390000303e-02 -1.000000047500000048e-03 3.141849279400000139e+00 -3.366257317339999902e-07 5.981695652009999531e-01 4.182574009360000060e-10 3.466931229920000167e-04 -6.296796798709999976e+00 0.000000000000000000e+00
4.940000000000000000e+02 1.702194595339999950e+01 7.345697376880000289e-03 4.484506696459999997e-02 3.141592741010000189e+00 4.477288201449999838e-02 -1.000000047500000048e-03 3.141911983490000004e+00 -3.366367593570000066e-07 6.251311898229999775e-01 4.222659166770000018e-10 4.220972477919999934e-04 -5.431490421300000371e+00 0.000000000000000000e+00
