## Gamma evolve w (u1) (nlines: 10)

##zp	gamma(r=1)	gamma(r=5)	gamma(r=10)	gamma(r=15)	
5 	4.4831442827023205 	0.896628856540464 	0.448314428270232 	0.2988762855134885 	
20 	3.6149608264409 	0.7229921652881799 	0.36149608264408994 	0.2409973884293937 	
40 	3.632800860446926 	0.7265601720893852 	0.3632800860446926 	0.24218672402979544 	
60 	4.179635250753199 	0.8359270501506396 	0.4179635250753198 	0.27864235005021365 	
80 	4.516520938187823 	0.9033041876375646 	0.4516520938187823 	0.30110139587918866 	
98 	5.412284293305277 	1.0824568586610552 	0.5412284293305276 	0.360818952887019 	
151 	5.87269613868657 	1.174539227737314 	0.587269613868657 	0.39151307591243856 	
199 	6.353871932454578 	1.2707743864909156 	0.6353871932454578 	0.4235914621636392 	
251 	7.171839581326963 	1.4343679162653924 	0.7171839581326962 	0.47812263875513156 	
302 	7.9022252660592 	1.58044505321184 	0.79022252660592 	0.5268150177372808 	
#######################################
