## First analysis (vellocity, variance, ratio proiles) (nlines: 10)

##zp	U	V	W	uu	vv	ww	uv	uw	vw	ww/vv	vv/uu	ww/uu	
20 	18.184199419557885 	0.011652627802234243 	-0.005720785443677429 	2.8932031073126665 	1.3670009790350681 	0.9048106335090177 	-0.002871384007371775 	-0.807479914289963 	0.0019796224059713606 	0.6618946492252704 	0.4724870423303251 	0.31273664514671606 	
40 	18.871938844878986 	0.011258182927324988 	-0.005793442338591828 	2.4887697356855103 	1.2374969113401513 	0.8909089801017552 	0.0026055487640804353 	-0.7676223218648658 	-0.0013084969508504944 	0.7199282454264411 	0.49723238497967887 	0.35797163848762487 	
60 	19.475494607650205 	0.010274826441422968 	-0.0057048575129771805 	2.221370883395525 	1.1512006018281726 	0.8626499644591191 	0.006846817465437098 	-0.7214820320440112 	-0.0030228941825572743 	0.7493480832872929 	0.5182388093916491 	0.38834125850272094 	
80 	19.98148159000167 	0.009930456194030405 	-0.005114145932365046 	1.9929604142575952 	1.0586712707552595 	0.8218525683522215 	0.005105282909894301 	-0.6727552612412897 	-0.0014620741888620372 	0.7763057249734465 	0.5312053682459262 	0.4123777685059403 	
98 	20.64781990055495 	0.0054342336042790314 	-0.002615829903876378 	1.7278152421093989 	0.9390088306990649 	0.7535669510996982 	0.0032899904013715116 	-0.5999278330239539 	0.0007857532334097409 	0.802513167569137 	0.5434659955613532 	0.43613861756405614 	
151 	20.740551003768164 	0.004597301858706793 	-0.0023362116462815616 	1.6722731305716223 	0.9100431950018076 	0.7384924124547493 	0.0024978489502631577 	-0.586789170714733 	0.001041034328265036 	0.8114916044762934 	0.544195310182813 	0.44160992540872507 	
199 	21.52805132568432 	-0.00302943515478678 	-0.0021379080651997276 	1.3549612357950642 	0.7515477895342249 	0.6274336510631626 	0.0038476329356586765 	-0.477105639167151 	0.002778606009609873 	0.8348552943679303 	0.5546636831224412 	0.4630639124483861 	
251 	22.279654064486763 	-0.010446000964320567 	-0.0001808456608794151 	0.988023466079945 	0.5461149281631252 	0.49327412422461875 	0.008379541714761393 	-0.3442665739719586 	-0.002768523628911415 	0.9032423374394137 	0.5527347749440364 	0.4992534501044998 	
302 	22.796680604682887 	-0.005979376256146906 	0.002498299979033302 	0.7310371517789713 	0.40642943025304157 	0.38867039738770476 	0.0018121814562414925 	-0.22942575077965788 	-0.0004377886699010393 	0.9563047566356597 	0.5559627568366392 	0.5316698288751528 	
392 	23.233258470091922 	-0.0020847421541398898 	0.0007208642945791493 	0.4189721915231794 	0.2563729888186075 	0.2815054103090601 	-0.000476022813883114 	-0.005736207499303617 	0.0008328771353294564 	1.0980306919471718 	0.6119093200113349 	0.6718952140609695 	
#######################################
